record_id	record_name	record_description	record_dbxrefs	record_annotations_molecule_type	record_annotations_topology	record_annotations_data_file_division	record_annotations_date	record_annotations_accessions	record_annotations_sequence_version	record_annotations_keywords	record_annotations_source	record_annotations_organism	record_annotations_taxonomy	feature_id	feature_type	feature_strand	feature_location_start	feature_location_end	feature_location_strand	feature_location_operator	feature_qualifier_organism	feature_qualifier_mol_type	feature_qualifier_db_xref	feature_qualifier_gene	feature_qualifier_note	feature_qualifier_codon_start	feature_qualifier_transl_table	feature_qualifier_regulatory_class	feature_qualifier_product	feature_qualifier_protein_id	feature_qualifier_strain	feature_qualifier_locus_tag	feature_qualifier_lab_host	feature_qualifier_isolate	feature_qualifier_allele	feature_qualifier_standard_name	feature_qualifier_mobile_element_type	feature_qualifier_EC_number	feature_qualifier_function	feature_qualifier_type_material	feature_qualifier_cultivar	feature_qualifier_chromosome	feature_qualifier_host	feature_qualifier_plasmid	feature_qualifier_country	feature_qualifier_collection_date	feature_qualifier_isolation_source	feature_qualifier_lat_lon	feature_qualifier_inference	feature_qualifier_clone	feature_qualifier_sub_strain	feature_qualifier_ecotype	feature_qualifier_gene_synonym	feature_qualifier_collected_by	feature_qualifier_sub_species	feature_qualifier_culture_collection	feature_qualifier_serovar	feature_qualifier_serotype	feature_qualifier_altitude	feature_qualifier_identified_by	feature_qualifier_mating_type	feature_qualifier_tissue_type	feature_qualifier_sex	feature_qualifier_dev_stage	feature_qualifier_PCR_primers	feature_qualifier_rpt_type	feature_qualifier_segment	feature_qualifier_specimen_voucher	feature_qualifier_citation	feature_qualifier_cell_type
AB364151.1	AB364151	S. pombe expression vector pHIS3K DNA, complete sequence		DNA	linear	SYN	06-SEP-2008	AB364151|REGION:|807..2259	1		Schizosaccharomyces pombe expression vector pHIS3K	Schizosaccharomyces pombe expression vector pHIS3K	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	1440	1453	1		Schizosaccharomyces pombe expression vector pHIS3K	other DNA	taxon:477429	TEF1	derived from Cloning vector pUC119	1	11	terminator	G418-resistance gene	BAF90990.1																																								
AB531984.1	AB531984	Shuttle vector pYN402 DNA, complete sequence		DNA	linear	SYN	14-NOV-2009	AB531984|REGION:|1649..2762	1		Shuttle vector pYN402	Shuttle vector pYN402	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	214	1018	1		Shuttle vector pYN402	other DNA	taxon:691827	URA3	Shuttle vector from gram-negative bacteria to Saccharomyces cerevisiae by conjugal transfer	1	11	promoter	orotidine-5'-phosphate (OMP) decarboxylase	BAI49496.1																																								
AB531984.1	AB531984	Shuttle vector pYN402 DNA, complete sequence		DNA	linear	SYN	14-NOV-2009	AB531984|REGION:|1649..2762	1		Shuttle vector pYN402	Shuttle vector pYN402	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	214	1018	1		Shuttle vector pYN402	other DNA	taxon:691827	URA3	Shuttle vector from gram-negative bacteria to Saccharomyces cerevisiae by conjugal transfer	1	11	promoter	orotidine-5'-phosphate (OMP) decarboxylase	BAI49496.1																																								
AB531984.1	AB531984	Shuttle vector pYN402 DNA, complete sequence		DNA	linear	SYN	14-NOV-2009	AB531984|REGION:|1649..2762	1		Shuttle vector pYN402	Shuttle vector pYN402	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	214	1018	1		Shuttle vector pYN402	other DNA	taxon:691827	URA3	Shuttle vector from gram-negative bacteria to Saccharomyces cerevisiae by conjugal transfer	1	11	promoter	orotidine-5'-phosphate (OMP) decarboxylase	BAI49496.1																																								
AB531984.1	AB531984	Shuttle vector pYN402 DNA, complete sequence		DNA	linear	SYN	14-NOV-2009	AB531984|REGION:|1649..2762	1		Shuttle vector pYN402	Shuttle vector pYN402	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	214	1018	1		Shuttle vector pYN402	other DNA	taxon:691827	URA3	Shuttle vector from gram-negative bacteria to Saccharomyces cerevisiae by conjugal transfer	1	11	promoter	orotidine-5'-phosphate (OMP) decarboxylase	BAI49496.1																																								
AB691957.1	AB691957	Gateway binary vector R4L1pGWB640 DNA, complete sequence		DNA	linear	SYN	24-OCT-2013	AB691957|REGION:|2052..2771	1		Gateway binary vector R4L1pGWB640	Gateway binary vector R4L1pGWB640	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	0	720	1		Gateway binary vector R4L1pGWB640	other DNA	taxon:1132886	yfp		1	11		yellow fluorescent protein	BAL45818.1																																								
AB691957.1	AB691957	Gateway binary vector R4L1pGWB640 DNA, complete sequence		DNA	linear	SYN	24-OCT-2013	AB691957|REGION:|2052..2771	1		Gateway binary vector R4L1pGWB640	Gateway binary vector R4L1pGWB640	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	0	720	1		Gateway binary vector R4L1pGWB640	other DNA	taxon:1132886	yfp		1	11		yellow fluorescent protein	BAL45818.1																																								
AB691957.1	AB691957	Gateway binary vector R4L1pGWB640 DNA, complete sequence		DNA	linear	SYN	24-OCT-2013	AB691957|REGION:|2052..2771	1		Gateway binary vector R4L1pGWB640	Gateway binary vector R4L1pGWB640	other sequences|artificial sequences|vectors	<unknown id>	CDS	1	0	720	1		Gateway binary vector R4L1pGWB640	other DNA	taxon:1132886	yfp		1	11		yellow fluorescent protein	BAL45818.1																																								
AB982099.1	AB982099	Synthetic construct gene for tdTomato-RLuc8-S257G, complete cds		DNA	linear	SYN	17-APR-2015	AB982099|REGION:|15..678	1		synthetic construct	synthetic construct	other sequences|artificial sequences	<unknown id>	misc_feature	1	0	664	1		synthetic construct	other DNA	taxon:32630		tdTomato(1-464a.a.)	2	11		tdTomato-RLuc8-S257G	BAR40081.1																																								
AB982099.1	AB982099	Synthetic construct gene for tdTomato-RLuc8-S257G, complete cds		DNA	linear	SYN	17-APR-2015	AB982099|REGION:|15..678	1		synthetic construct	synthetic construct	other sequences|artificial sequences	<unknown id>	misc_feature	1	0	664	1		synthetic construct	other DNA	taxon:32630		tdTomato(1-464a.a.)	2	11		tdTomato-RLuc8-S257G	BAR40081.1																																								
AB982099.1	AB982099	Synthetic construct gene for tdTomato-RLuc8-S257G, complete cds		DNA	linear	SYN	17-APR-2015	AB982099|REGION:|15..678	1		synthetic construct	synthetic construct	other sequences|artificial sequences	<unknown id>	misc_feature	1	0	664	1		synthetic construct	other DNA	taxon:32630		tdTomato(1-464a.a.)	2	11		tdTomato-RLuc8-S257G	BAR40081.1																																								
AE004091.2	AE004091	Pseudomonas aeruginosa PAO1, complete genome	BioProject:PRJNA331|BioSample:SAMN02603714	DNA	linear	BCT	31-JAN-2014	AE004091|REGION:|1188255..1188304	2		Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	1	0	50	1		Pseudomonas aeruginosa PAO1	genomic DNA	taxon:208964	fleQ	Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa)	2	11		transcriptional regulator FleQ	AAG04486.1	PAO1	PA1097																																						
AE004091.2	AE004091	Pseudomonas aeruginosa PAO1, complete genome	BioProject:PRJNA331|BioSample:SAMN02603714	DNA	linear	BCT	31-JAN-2014	AE004091|REGION:|1188255..1188304	2		Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	1	0	50	1		Pseudomonas aeruginosa PAO1	genomic DNA	taxon:208964	fleQ	Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa)	2	11		transcriptional regulator FleQ	AAG04486.1	PAO1	PA1097																																						
AE004091.2	AE004091	Pseudomonas aeruginosa PAO1, complete genome	BioProject:PRJNA331|BioSample:SAMN02603714	DNA	linear	BCT	31-JAN-2014	AE004091|REGION:|1188255..1188304	2		Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	1	0	50	1		Pseudomonas aeruginosa PAO1	genomic DNA	taxon:208964	fleQ	Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa)	2	11		transcriptional regulator FleQ	AAG04486.1	PAO1	PA1097																																						
AE015451.2	AE015451	Pseudomonas putida KT2440 complete genome	BioProject:PRJNA267|BioSample:SAMN02603999	DNA	linear	BCT	02-MAR-2016	AE015451|REGION:|5705752..5705801	2		Pseudomonas putida KT2440	Pseudomonas putida KT2440	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	-1	0	50	-1		Pseudomonas putida KT2440	genomic DNA	taxon:160488			3	11		Poly granule-associated protein	AAN70574.1	KT2440	PP_5008																																						
AE015451.2	AE015451	Pseudomonas putida KT2440 complete genome	BioProject:PRJNA267|BioSample:SAMN02603999	DNA	linear	BCT	02-MAR-2016	AE015451|REGION:|5705752..5705801	2		Pseudomonas putida KT2440	Pseudomonas putida KT2440	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	-1	0	50	-1		Pseudomonas putida KT2440	genomic DNA	taxon:160488			3	11		Poly granule-associated protein	AAN70574.1	KT2440	PP_5008																																						
AE015451.2	AE015451	Pseudomonas putida KT2440 complete genome	BioProject:PRJNA267|BioSample:SAMN02603999	DNA	linear	BCT	02-MAR-2016	AE015451|REGION:|5705752..5705801	2		Pseudomonas putida KT2440	Pseudomonas putida KT2440	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	<unknown id>	CDS	-1	0	50	-1		Pseudomonas putida KT2440	genomic DNA	taxon:160488			3	11		Poly granule-associated protein	AAN70574.1	KT2440	PP_5008																																						
AF149263.1	AF149263	Cloning vector pUNI(Amp)-HA3, complete sequence		DNA	linear	SYN	23-AUG-1999	AF149263|REGION:|220..312	1		Cloning vector pUNI(Amp)-HA3	Cloning vector pUNI(Amp)-HA3	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	0	93	1		Cloning vector pUNI(Amp)-HA3	genomic DNA	taxon:101641		polylinker region cassette								Escherichia coli																																					
AF149263.1	AF149263	Cloning vector pUNI(Amp)-HA3, complete sequence		DNA	linear	SYN	23-AUG-1999	AF149263|REGION:|220..312	1		Cloning vector pUNI(Amp)-HA3	Cloning vector pUNI(Amp)-HA3	other sequences|artificial sequences|vectors	<unknown id>	misc_feature	1	0	93	1		Cloning vector pUNI(Amp)-HA3	genomic DNA	taxon:101641		polylinker region cassette								Escherichia coli																																					
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
AF234172.1	AF234172	Escherichia phage P1 isolate mod749::IS5 c1.100 mutant, complete genome		DNA	linear	PHG	28-OCT-2021	AF234172|REGION:|3789..15889	1		Escherichia phage P1	Escherichia phage P1	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Caudovirales|Myoviridae|Punavirus	<unknown id>	misc_feature	1	11537	12101	1		Escherichia phage P1	genomic DNA	taxon:2886926	darB	99 pct identical (15 gaps) to fragment of P1 sequence deposited as locus AF125376.2 in GenBank Accession Number AF125376	1	11	minus_35_signal	DarB	AAQ13985.1				mod749::IS5 c1.100 mutant	mod749::IS5	P3lxc	insertion sequence:IS5																																	
